OID,metro_area,area_land,area_water,GEOID10,mode,month,trips,classification,lat,lon
1,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-01,22447,Non-Rail,40.13615762,-79.88423289
2,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-02,23338,Non-Rail,40.13615762,-79.88423289
3,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-03,24577,Non-Rail,40.13615762,-79.88423289
4,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-04,24723,Non-Rail,40.13615762,-79.88423289
5,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-05,23115,Non-Rail,40.13615762,-79.88423289
6,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-06,20565,Non-Rail,40.13615762,-79.88423289
7,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-07,21604,Non-Rail,40.13615762,-79.88423289
8,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-08,23608,Non-Rail,40.13615762,-79.88423289
9,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-09,23345,Non-Rail,40.13615762,-79.88423289
10,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-10,26274,Non-Rail,40.13615762,-79.88423289
11,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-11,22627,Non-Rail,40.13615762,-79.88423289
12,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-12,20481,Non-Rail,40.13615762,-79.88423289
13,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-01,21807,Non-Rail,40.13615762,-79.88423289
14,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-02,22296,Non-Rail,40.13615762,-79.88423289
15,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-03,16977,Non-Rail,40.13615762,-79.88423289
16,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-04,10871,Non-Rail,40.13615762,-79.88423289
17,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-05,12829,Non-Rail,40.13615762,-79.88423289
18,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-06,14209,Non-Rail,40.13615762,-79.88423289
19,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-07,13818,Non-Rail,40.13615762,-79.88423289
20,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-08,13417,Non-Rail,40.13615762,-79.88423289
21,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-09,12946,Non-Rail,40.13615762,-79.88423289
22,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-01,4596,Non-Rail,40.30068005,-78.8922193
23,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-02,4426,Non-Rail,40.30068005,-78.8922193
24,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-03,4997,Non-Rail,40.30068005,-78.8922193
25,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-04,5288,Non-Rail,40.30068005,-78.8922193
26,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-05,5587,Non-Rail,40.30068005,-78.8922193
27,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-06,5273,Non-Rail,40.30068005,-78.8922193
28,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-07,5633,Non-Rail,40.30068005,-78.8922193
29,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-08,5723,Non-Rail,40.30068005,-78.8922193
30,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-09,5452,Non-Rail,40.30068005,-78.8922193
31,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-10,6453,Non-Rail,40.30068005,-78.8922193
32,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-11,5235,Non-Rail,40.30068005,-78.8922193
33,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-12,4966,Non-Rail,40.30068005,-78.8922193
34,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-01,4943,Non-Rail,40.30068005,-78.8922193
35,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-02,4646,Non-Rail,40.30068005,-78.8922193
36,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-03,3414,Non-Rail,40.30068005,-78.8922193
37,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-04,1467,Non-Rail,40.30068005,-78.8922193
38,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-05,1517,Non-Rail,40.30068005,-78.8922193
39,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-06,2043,Non-Rail,40.30068005,-78.8922193
40,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-07,2290,Non-Rail,40.30068005,-78.8922193
41,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-08,2273,Non-Rail,40.30068005,-78.8922193
42,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-09,2555,Non-Rail,40.30068005,-78.8922193
43,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-01,0,Rail,40.30068005,-78.8922193
44,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-02,0,Rail,40.30068005,-78.8922193
45,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-03,604,Rail,40.30068005,-78.8922193
46,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-04,5192,Rail,40.30068005,-78.8922193
47,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-05,7717,Rail,40.30068005,-78.8922193
48,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-06,12311,Rail,40.30068005,-78.8922193
49,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-07,7654,Rail,40.30068005,-78.8922193
50,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-08,10995,Rail,40.30068005,-78.8922193
51,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-09,6281,Rail,40.30068005,-78.8922193
52,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-10,6554,Rail,40.30068005,-78.8922193
53,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-11,4042,Rail,40.30068005,-78.8922193
54,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-12,3191,Rail,40.30068005,-78.8922193
55,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-01,0,Rail,40.30068005,-78.8922193
56,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-02,0,Rail,40.30068005,-78.8922193
57,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-03,0,Rail,40.30068005,-78.8922193
58,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-04,0,Rail,40.30068005,-78.8922193
59,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-05,0,Rail,40.30068005,-78.8922193
60,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-06,2118,Rail,40.30068005,-78.8922193
61,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-07,2492,Rail,40.30068005,-78.8922193
62,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-08,4895,Rail,40.30068005,-78.8922193
63,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2020-09,4967,Rail,40.30068005,-78.8922193
64,"Johnstown, PA",100019423,897132,43291,Bus,2019-01,84266,Non-Rail,40.30068005,-78.8922193
65,"Johnstown, PA",100019423,897132,43291,Bus,2019-02,85135,Non-Rail,40.30068005,-78.8922193
66,"Johnstown, PA",100019423,897132,43291,Bus,2019-03,93575,Non-Rail,40.30068005,-78.8922193
67,"Johnstown, PA",100019423,897132,43291,Bus,2019-04,89120,Non-Rail,40.30068005,-78.8922193
68,"Johnstown, PA",100019423,897132,43291,Bus,2019-05,96801,Non-Rail,40.30068005,-78.8922193
69,"Johnstown, PA",100019423,897132,43291,Bus,2019-06,92390,Non-Rail,40.30068005,-78.8922193
70,"Johnstown, PA",100019423,897132,43291,Bus,2019-07,98601,Non-Rail,40.30068005,-78.8922193
71,"Johnstown, PA",100019423,897132,43291,Bus,2019-08,100476,Non-Rail,40.30068005,-78.8922193
72,"Johnstown, PA",100019423,897132,43291,Bus,2019-09,90231,Non-Rail,40.30068005,-78.8922193
73,"Johnstown, PA",100019423,897132,43291,Bus,2019-10,102518,Non-Rail,40.30068005,-78.8922193
74,"Johnstown, PA",100019423,897132,43291,Bus,2019-11,92784,Non-Rail,40.30068005,-78.8922193
75,"Johnstown, PA",100019423,897132,43291,Bus,2019-12,89618,Non-Rail,40.30068005,-78.8922193
76,"Johnstown, PA",100019423,897132,43291,Bus,2020-01,91314,Non-Rail,40.30068005,-78.8922193
77,"Johnstown, PA",100019423,897132,43291,Bus,2020-02,88327,Non-Rail,40.30068005,-78.8922193
78,"Johnstown, PA",100019423,897132,43291,Bus,2020-03,72914,Non-Rail,40.30068005,-78.8922193
79,"Johnstown, PA",100019423,897132,43291,Bus,2020-04,44833,Non-Rail,40.30068005,-78.8922193
80,"Johnstown, PA",100019423,897132,43291,Bus,2020-05,52116,Non-Rail,40.30068005,-78.8922193
81,"Johnstown, PA",100019423,897132,43291,Bus,2020-06,69891,Non-Rail,40.30068005,-78.8922193
82,"Johnstown, PA",100019423,897132,43291,Bus,2020-07,73041,Non-Rail,40.30068005,-78.8922193
83,"Johnstown, PA",100019423,897132,43291,Bus,2020-08,69602,Non-Rail,40.30068005,-78.8922193
84,"Johnstown, PA",100019423,897132,43291,Bus,2020-09,72489,Non-Rail,40.30068005,-78.8922193
85,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-01,3543,Non-Rail,41.14546604,-80.68165133
86,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-02,3611,Non-Rail,41.14546604,-80.68165133
87,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-03,3682,Non-Rail,41.14546604,-80.68165133
88,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-04,3706,Non-Rail,41.14546604,-80.68165133
89,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-05,3624,Non-Rail,41.14546604,-80.68165133
90,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-06,3248,Non-Rail,41.14546604,-80.68165133
91,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-07,3093,Non-Rail,41.14546604,-80.68165133
92,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-08,3500,Non-Rail,41.14546604,-80.68165133
93,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-09,3287,Non-Rail,41.14546604,-80.68165133
94,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-10,3708,Non-Rail,41.14546604,-80.68165133
95,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-11,3249,Non-Rail,41.14546604,-80.68165133
96,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2019-12,3329,Non-Rail,41.14546604,-80.68165133
97,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-01,3702,Non-Rail,41.14546604,-80.68165133
98,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-02,3452,Non-Rail,41.14546604,-80.68165133
99,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-03,2709,Non-Rail,41.14546604,-80.68165133
100,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-04,5063,Non-Rail,41.14546604,-80.68165133
101,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-05,823,Non-Rail,41.14546604,-80.68165133
102,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-06,2543,Non-Rail,41.14546604,-80.68165133
103,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-07,3145,Non-Rail,41.14546604,-80.68165133
104,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-08,3088,Non-Rail,41.14546604,-80.68165133
105,"Youngstown, OH-PA",624116000,5433176,97831,Demand Response,2020-09,3131,Non-Rail,41.14546604,-80.68165133
106,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-01,110585,Non-Rail,41.14546604,-80.68165133
107,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-02,114817,Non-Rail,41.14546604,-80.68165133
108,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-03,121219,Non-Rail,41.14546604,-80.68165133
109,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-04,120773,Non-Rail,41.14546604,-80.68165133
110,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-05,122278,Non-Rail,41.14546604,-80.68165133
111,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-06,119351,Non-Rail,41.14546604,-80.68165133
112,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-07,126135,Non-Rail,41.14546604,-80.68165133
113,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-08,142126,Non-Rail,41.14546604,-80.68165133
114,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-09,122908,Non-Rail,41.14546604,-80.68165133
115,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-10,137775,Non-Rail,41.14546604,-80.68165133
116,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-11,120960,Non-Rail,41.14546604,-80.68165133
117,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2019-12,109338,Non-Rail,41.14546604,-80.68165133
118,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-01,122724,Non-Rail,41.14546604,-80.68165133
119,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-02,116682,Non-Rail,41.14546604,-80.68165133
120,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-03,102224,Non-Rail,41.14546604,-80.68165133
121,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-04,10558,Non-Rail,41.14546604,-80.68165133
122,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-05,26366,Non-Rail,41.14546604,-80.68165133
123,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-06,75607,Non-Rail,41.14546604,-80.68165133
124,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-07,78436,Non-Rail,41.14546604,-80.68165133
125,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-08,65339,Non-Rail,41.14546604,-80.68165133
126,"Youngstown, OH-PA",624116000,5433176,97831,Bus,2020-09,78825,Non-Rail,41.14546604,-80.68165133
127,"Durham, NC",470924088,3672528,25228,Demand Response,2019-01,28508,Non-Rail,35.9794915,-78.947385
128,"Durham, NC",470924088,3672528,25228,Demand Response,2019-02,27273,Non-Rail,35.9794915,-78.947385
129,"Durham, NC",470924088,3672528,25228,Demand Response,2019-03,28740,Non-Rail,35.9794915,-78.947385
130,"Durham, NC",470924088,3672528,25228,Demand Response,2019-04,29569,Non-Rail,35.9794915,-78.947385
131,"Durham, NC",470924088,3672528,25228,Demand Response,2019-05,29411,Non-Rail,35.9794915,-78.947385
132,"Durham, NC",470924088,3672528,25228,Demand Response,2019-06,27293,Non-Rail,35.9794915,-78.947385
133,"Durham, NC",470924088,3672528,25228,Demand Response,2019-07,26975,Non-Rail,35.9794915,-78.947385
134,"Durham, NC",470924088,3672528,25228,Demand Response,2019-08,27300,Non-Rail,35.9794915,-78.947385
135,"Durham, NC",470924088,3672528,25228,Demand Response,2019-09,25594,Non-Rail,35.9794915,-78.947385
136,"Durham, NC",470924088,3672528,25228,Demand Response,2019-10,29029,Non-Rail,35.9794915,-78.947385
137,"Durham, NC",470924088,3672528,25228,Demand Response,2019-11,25304,Non-Rail,35.9794915,-78.947385
138,"Durham, NC",470924088,3672528,25228,Demand Response,2019-12,24212,Non-Rail,35.9794915,-78.947385
139,"Durham, NC",470924088,3672528,25228,Demand Response,2020-01,27688,Non-Rail,35.9794915,-78.947385
140,"Durham, NC",470924088,3672528,25228,Demand Response,2020-02,25417,Non-Rail,35.9794915,-78.947385
141,"Durham, NC",470924088,3672528,25228,Demand Response,2020-03,19472,Non-Rail,35.9794915,-78.947385
142,"Durham, NC",470924088,3672528,25228,Demand Response,2020-04,11454,Non-Rail,35.9794915,-78.947385
143,"Durham, NC",470924088,3672528,25228,Demand Response,2020-05,11386,Non-Rail,35.9794915,-78.947385
144,"Durham, NC",470924088,3672528,25228,Demand Response,2020-06,13576,Non-Rail,35.9794915,-78.947385
145,"Durham, NC",470924088,3672528,25228,Demand Response,2020-07,11687,Non-Rail,35.9794915,-78.947385
146,"Durham, NC",470924088,3672528,25228,Demand Response,2020-08,11687,Non-Rail,35.9794915,-78.947385
147,"Durham, NC",470924088,3672528,25228,Demand Response,2020-09,12008,Non-Rail,35.9794915,-78.947385
148,"Durham, NC",470924088,3672528,25228,Bus,2019-01,1270109,Non-Rail,35.9794915,-78.947385
149,"Durham, NC",470924088,3672528,25228,Bus,2019-02,1268979,Non-Rail,35.9794915,-78.947385
150,"Durham, NC",470924088,3672528,25228,Bus,2019-03,1248716,Non-Rail,35.9794915,-78.947385
151,"Durham, NC",470924088,3672528,25228,Bus,2019-04,1310327,Non-Rail,35.9794915,-78.947385
152,"Durham, NC",470924088,3672528,25228,Bus,2019-05,1121500,Non-Rail,35.9794915,-78.947385
153,"Durham, NC",470924088,3672528,25228,Bus,2019-06,1004922,Non-Rail,35.9794915,-78.947385
154,"Durham, NC",470924088,3672528,25228,Bus,2019-07,1056484,Non-Rail,35.9794915,-78.947385
155,"Durham, NC",470924088,3672528,25228,Bus,2019-08,1127868,Non-Rail,35.9794915,-78.947385
156,"Durham, NC",470924088,3672528,25228,Bus,2019-09,1392956,Non-Rail,35.9794915,-78.947385
157,"Durham, NC",470924088,3672528,25228,Bus,2019-10,1519070,Non-Rail,35.9794915,-78.947385
158,"Durham, NC",470924088,3672528,25228,Bus,2019-11,1248094,Non-Rail,35.9794915,-78.947385
159,"Durham, NC",470924088,3672528,25228,Bus,2019-12,1070122,Non-Rail,35.9794915,-78.947385
160,"Durham, NC",470924088,3672528,25228,Bus,2020-01,1236323,Non-Rail,35.9794915,-78.947385
161,"Durham, NC",470924088,3672528,25228,Bus,2020-02,1239323,Non-Rail,35.9794915,-78.947385
162,"Durham, NC",470924088,3672528,25228,Bus,2020-03,649092,Non-Rail,35.9794915,-78.947385
163,"Durham, NC",470924088,3672528,25228,Bus,2020-04,355184,Non-Rail,35.9794915,-78.947385
164,"Durham, NC",470924088,3672528,25228,Bus,2020-05,316958,Non-Rail,35.9794915,-78.947385
165,"Durham, NC",470924088,3672528,25228,Bus,2020-06,393257,Non-Rail,35.9794915,-78.947385
166,"Durham, NC",470924088,3672528,25228,Bus,2020-07,450714,Non-Rail,35.9794915,-78.947385
167,"Durham, NC",470924088,3672528,25228,Bus,2020-08,485366,Non-Rail,35.9794915,-78.947385
168,"Durham, NC",470924088,3672528,25228,Bus,2020-09,468727,Non-Rail,35.9794915,-78.947385
169,"Durham, NC",470924088,3672528,25228,Vanpool,2019-01,14826,Non-Rail,35.9794915,-78.947385
170,"Durham, NC",470924088,3672528,25228,Vanpool,2019-02,14820,Non-Rail,35.9794915,-78.947385
171,"Durham, NC",470924088,3672528,25228,Vanpool,2019-03,12029,Non-Rail,35.9794915,-78.947385
172,"Durham, NC",470924088,3672528,25228,Vanpool,2019-04,12142,Non-Rail,35.9794915,-78.947385
173,"Durham, NC",470924088,3672528,25228,Vanpool,2019-05,9811,Non-Rail,35.9794915,-78.947385
174,"Durham, NC",470924088,3672528,25228,Vanpool,2019-06,8712,Non-Rail,35.9794915,-78.947385
175,"Durham, NC",470924088,3672528,25228,Vanpool,2019-07,9093,Non-Rail,35.9794915,-78.947385
176,"Durham, NC",470924088,3672528,25228,Vanpool,2019-08,8054,Non-Rail,35.9794915,-78.947385
177,"Durham, NC",470924088,3672528,25228,Vanpool,2019-09,7165,Non-Rail,35.9794915,-78.947385
178,"Durham, NC",470924088,3672528,25228,Vanpool,2019-10,8093,Non-Rail,35.9794915,-78.947385
179,"Durham, NC",470924088,3672528,25228,Vanpool,2019-11,6395,Non-Rail,35.9794915,-78.947385
180,"Durham, NC",470924088,3672528,25228,Vanpool,2019-12,6632,Non-Rail,35.9794915,-78.947385
181,"Durham, NC",470924088,3672528,25228,Vanpool,2020-01,8149,Non-Rail,35.9794915,-78.947385
182,"Durham, NC",470924088,3672528,25228,Vanpool,2020-02,7345,Non-Rail,35.9794915,-78.947385
183,"Durham, NC",470924088,3672528,25228,Vanpool,2020-03,6077,Non-Rail,35.9794915,-78.947385
184,"Durham, NC",470924088,3672528,25228,Vanpool,2020-04,2840,Non-Rail,35.9794915,-78.947385
185,"Durham, NC",470924088,3672528,25228,Vanpool,2020-05,2800,Non-Rail,35.9794915,-78.947385
186,"Durham, NC",470924088,3672528,25228,Vanpool,2020-06,2861,Non-Rail,35.9794915,-78.947385
187,"Durham, NC",470924088,3672528,25228,Vanpool,2020-07,2862,Non-Rail,35.9794915,-78.947385
188,"Durham, NC",470924088,3672528,25228,Vanpool,2020-08,2266,Non-Rail,35.9794915,-78.947385
189,"Durham, NC",470924088,3672528,25228,Vanpool,2020-09,1854,Non-Rail,35.9794915,-78.947385
190,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-01,3182664,Rail,39.97408706,-75.29707973
191,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-02,2872038,Rail,39.97408706,-75.29707973
192,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-03,3046522,Rail,39.97408706,-75.29707973
193,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-04,3206955,Rail,39.97408706,-75.29707973
194,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-05,3156163,Rail,39.97408706,-75.29707973
195,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-06,2817237,Rail,39.97408706,-75.29707973
196,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-07,2999482,Rail,39.97408706,-75.29707973
197,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-08,2987677,Rail,39.97408706,-75.29707973
198,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-09,3341380,Rail,39.97408706,-75.29707973
199,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-10,3539065,Rail,39.97408706,-75.29707973
200,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-11,3129861,Rail,39.97408706,-75.29707973
201,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2019-12,3169842,Rail,39.97408706,-75.29707973
202,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-01,3290249,Rail,39.97408706,-75.29707973
203,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-02,2969964,Rail,39.97408706,-75.29707973
204,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-03,1569636,Rail,39.97408706,-75.29707973
205,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-04,126092,Rail,39.97408706,-75.29707973
206,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-05,47475,Rail,39.97408706,-75.29707973
207,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-06,219335,Rail,39.97408706,-75.29707973
208,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-07,457010,Rail,39.97408706,-75.29707973
209,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-08,456178,Rail,39.97408706,-75.29707973
210,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Commuter Rail,2020-09,574203,Rail,39.97408706,-75.29707973
211,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-01,211913,Non-Rail,39.97408706,-75.29707973
212,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-02,197717,Non-Rail,39.97408706,-75.29707973
213,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-03,231177,Non-Rail,39.97408706,-75.29707973
214,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-04,226571,Non-Rail,39.97408706,-75.29707973
215,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-05,230236,Non-Rail,39.97408706,-75.29707973
216,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-06,216114,Non-Rail,39.97408706,-75.29707973
217,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-07,216789,Non-Rail,39.97408706,-75.29707973
218,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-08,223807,Non-Rail,39.97408706,-75.29707973
219,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-09,224389,Non-Rail,39.97408706,-75.29707973
220,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-10,240420,Non-Rail,39.97408706,-75.29707973
221,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-11,213329,Non-Rail,39.97408706,-75.29707973
222,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2019-12,210349,Non-Rail,39.97408706,-75.29707973
223,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-01,217135,Non-Rail,39.97408706,-75.29707973
224,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-02,211754,Non-Rail,39.97408706,-75.29707973
225,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-03,140335,Non-Rail,39.97408706,-75.29707973
226,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-04,36719,Non-Rail,39.97408706,-75.29707973
227,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-05,41707,Non-Rail,39.97408706,-75.29707973
228,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-06,48980,Non-Rail,39.97408706,-75.29707973
229,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-07,65970,Non-Rail,39.97408706,-75.29707973
230,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-08,69554,Non-Rail,39.97408706,-75.29707973
231,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Demand Response,2020-09,78125,Non-Rail,39.97408706,-75.29707973
232,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-01,8400093,Rail,39.97408706,-75.29707973
233,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-02,8233333,Rail,39.97408706,-75.29707973
234,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-03,8830233,Rail,39.97408706,-75.29707973
235,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-04,8690397,Rail,39.97408706,-75.29707973
236,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-05,8920403,Rail,39.97408706,-75.29707973
237,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-06,7573263,Rail,39.97408706,-75.29707973
238,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-07,7704070,Rail,39.97408706,-75.29707973
239,"Philadelphia, PA-NJ-DE-MD",5131784571,127489276,69076,Heavy Rail,2019-08,7875093,Rail,39.97408706,-75.29707973
